Jurisdiction of Occurrence,Week ,All Cause
Idaho,9,262
Idaho,10,279
Idaho,11,294
Idaho,12,286
Idaho,13,282
Idaho,14,296
Idaho,15,281
Idaho,16,287
Idaho,17,312
Idaho,18,328
Idaho,19,327
Idaho,20,312
Idaho,21,319
Idaho,22,360
Idaho,23,327
Idaho,24,352
Idaho,25,321
Idaho,26,320
Idaho,27,292
Idaho,28,328
Idaho,29,300
Idaho,30,326
Idaho,31,341
Idaho,32,351
Idaho,33,365
Idaho,34,410
Idaho,35,391
Idaho,36,424
Idaho,37,397
Idaho,38,373
Idaho,39,394
Idaho,40,390
Idaho,41,349
Idaho,42,389
Idaho,43,340
Idaho,44,339
Idaho,45,284
Idaho,46,328
Idaho,47,305
Idaho,48,298
Idaho,49,302
Idaho,50,306
Idaho,51,308
Idaho,52,292
Idaho,53,300
Idaho,54,321
Idaho,55,343
Idaho,56,277
Idaho,57,280
Idaho,58,270
Idaho,59,273
Idaho,60,286
Idaho,61,325
Idaho,62,317
Idaho,63,288
Idaho,64,298
Idaho,65,236
Illinois,-11,"2,191"
Illinois,-10,"2,252"
Illinois,-9,"2,231"
Illinois,-8,"2,199"
Illinois,-7,"2,137"
Illinois,-6,"2,232"
Illinois,-5,"2,216"
Illinois,-4,"2,207"
Illinois,-3,"2,209"
Illinois,-2,"2,254"
Illinois,-1,"2,191"
Illinois,0,"2,283"
Illinois,1,"2,304"
Illinois,2,"2,622"
Illinois,3,"2,870"
Illinois,4,"2,912"
Illinois,5,"3,010"
Illinois,6,"2,952"
Illinois,7,"2,962"
Illinois,8,"2,865"
Illinois,9,"2,638"
Illinois,10,"2,547"
Illinois,11,"2,511"
Illinois,12,"2,270"
Illinois,13,"2,255"
Illinois,14,"2,133"
Illinois,15,"2,182"
Illinois,16,"2,189"
Illinois,17,"2,087"
Illinois,18,"2,034"
Illinois,19,"2,071"
Illinois,20,"2,138"
Illinois,21,"2,126"
Illinois,22,"2,151"
Illinois,23,"2,120"
Illinois,24,"2,198"
Illinois,25,"2,080"
Illinois,26,"2,080"
Illinois,27,"2,295"
Illinois,28,"2,138"
Illinois,29,"2,332"
Illinois,30,"2,281"
Illinois,31,"2,290"
Illinois,32,"2,455"
Illinois,33,"2,699"
Illinois,34,"2,905"
Illinois,35,"3,186"
Illinois,36,"3,151"
Illinois,37,"3,281"
Illinois,38,"3,345"
Illinois,39,"3,130"
Illinois,40,"3,040"
Illinois,41,"3,031"
Illinois,42,"2,794"
Illinois,43,"2,732"
Illinois,44,"2,609"
Illinois,45,"2,585"
Illinois,46,"2,560"
Illinois,47,"2,476"
Illinois,48,"2,437"
Illinois,49,"2,333"
Illinois,50,"2,178"
Illinois,51,"2,109"
Illinois,52,"2,115"
Illinois,53,"2,127"
Illinois,54,"2,179"
Illinois,55,"2,232"
Illinois,56,"2,110"
Illinois,57,"2,219"
Illinois,58,"2,224"
Illinois,59,"2,159"
Illinois,60,"2,121"
Illinois,61,"2,207"
Illinois,62,"2,004"
Illinois,63,"2,144"
Illinois,64,"1,980"
Illinois,65,"1,644"
Indiana,-11,"1,470"
Indiana,-10,"1,386"
Indiana,-9,"1,389"
Indiana,-8,"1,422"
Indiana,-7,"1,380"
Indiana,-6,"1,363"
Indiana,-5,"1,429"
Indiana,-4,"1,412"
Indiana,-3,"1,449"
Indiana,-2,"1,372"
Indiana,-1,"1,407"
Indiana,0,"1,329"
Indiana,1,"1,486"
Indiana,2,"1,581"
Indiana,3,"1,633"
Indiana,4,"1,510"
Indiana,5,"1,597"
Indiana,6,"1,537"
Indiana,7,"1,583"
Indiana,8,"1,572"
Indiana,9,"1,474"
Indiana,10,"1,383"
Indiana,11,"1,396"
Indiana,12,"1,392"
Indiana,13,"1,353"
Indiana,14,"1,380"
Indiana,15,"1,345"
Indiana,16,"1,352"
Indiana,17,"1,383"
Indiana,18,"1,318"
Indiana,19,"1,367"
Indiana,20,"1,344"
Indiana,21,"1,372"
Indiana,22,"1,359"
Indiana,23,"1,356"
Indiana,24,"1,271"
Indiana,25,"1,343"
Indiana,26,"1,409"
Indiana,27,"1,441"
Indiana,28,"1,411"
Indiana,29,"1,442"
Indiana,30,"1,524"
Indiana,31,"1,514"
